prop,types_of_units,amenities,income_requirements,rent_occupancy,how_to_apply,,
"Morse Cour 825 Morse Ave Sunnyvale, CA 94085 (408) 734-944 midpen-housing.or Mid Pen","Familie 1BR, 2BR, & 3B units (35)",Balcony or Patio Laundry Facility Updated Kitchens & Bathrooms9,"Minimum income Maximum income:",Please contact property.,"Waitlist 3 to 5 year Apply at: Morse Cour 825 Morse Ave. Sunnyvale, CA 94085 (408) 734-9442",,
"Paulson Par 111 Montebello Avenu Mountain View, CA 94043 (650) 964-560 midpen-housing.or Mid Pen","Senior 1BR & 2BR (253)",Private Patios Computer Center Exercise Room Community Vegetable Garden,"Minimum income 2 X Ren Maximum income 1 person $3,600. mont 2 people $4,200. month","1 BR $1,016.00.0 2 BR  1,200.00.0 Section 8 Accepte OCCUPANC 1 BR  2 BR 4","Apply at Paulson Par 111 Montebello Ave Mountain View, CA 94043 (650) 964-5600 o Email",,
"Riverwood Plac 5090 Lick Mill Blv Santa Clara, CA 95054 (408)727-610 midpen-housing.or Mid Pen","Individual Studi Units (148)","Kitchenette Bed & Dresse 3 Landscape Courtyards On site Social Services with training programs.","Minimum income 2 X Ren Maximum income:","$598.00 to $997.0 Rent is based on previous rent for the specific unit. Occupancy 1 perso Section 8 accepted","Apply at 5090 Lick Mill Blvd Santa Clara, CA 95054 (408) 727-6109 or Email",,
"Santa Famili 4984 Severance Drive San Jose, CA 95136 (408) 448-294 midpen-housing.or Mid Pen","Seniors & Familie 1BR, 2BR, & 3B units (79)",On site childcare Playground Computer Lab,"Minimum income Maximum income:",Please contact property.,"Apply at: Santa Famili 4984 Severance Driv San Jose, CA 95136 (408) 448-2946",,
"The Palms & Shannon Pal 844, 910, 989 Sharmon Plams Lan Campbell, CA 95008 (408) 379-2828 midpen-housing.or Mid Pen","Familie 1BR, 2BR, & 3B UNITS (60)","Laundry Facilitie Swimming Pool","Minimum income 2 1/2 X Ren Maximum income:","1 BR $1,038. _ба 1,252 2 BR  1,244. _ба 1,501 3 BR  1,434. _ба 1,730. Section 8 accepte OCCUPANC 1 BR  2 BR  3 BR 7","Accepting applications only Apply at The Palms & Sharmon Palm 844 Sharmon Palm Lane Campbell, CA 95008 (408) 379-2828 o Email",,
"Timberwood Apartment 3903 Seven Trees Blv San Jose, CA 95111 (408) 578-6800 midpen-housing.or Mid Pen","Familie Studio (84), Jr. 1BR (84), 1BR (80), & 2B (38) units","Swimming Pool Recreation room Updated Kitchen & Bathroo Large walk-in closet New carpet & paint","Minimum income 2 X Ren Maximum income:","Studio   $  985.0 1 BR Jr.   1,050.0 1 BR        1,100.0 2 BR        1,350.0 Section 8 Accepte OCCUPANCY Studio  1BR Jr.  1 BR     2 BR    5","Apply at Timberwood Apartment 3903 Seven Trees B;lvd San Jose, CA 95111 (408) 578-6800",,
"Tyrella Garden 449 Tyrella Av Mountain View, CA 94043 (650) 964-287 midpen-housing.or Mid Pen","Familie 1BR, 2BR, & 3B units (56)","Laundry Facilitie Park","Minimum income 2 X Ren Maximum income:","1 BR $1,012. _ба 1,222 2 BR  1,132. _ба 1,368 3 BR  1,252. _ба 1,515. Section 8 Accepte OCCUPANC 1 BR  2BR   3 BR 7","Waitlist 2 ы_ to 3 year Apply at Tyrella Garden 449 Tyrella Ave Mountain View, CA 94043 (650) 964-2874",,
"Downtown Rive 35 East Washington Stree Petaluma, CA  94952 (707) 769-9576 edenhousing.or Eden Housing","Familie 1BR, 2BR, & 3B unit Accepting applications for 2BR & 3BR",Playground Community room Computer lab Courtyard Convenient Dishwasher Window coverings,"Minimum income Maximum income:","1BR - $854 - $1,03 2BR - $983 - $1,19 3BR - $983-$1,19 Section 8 accepted",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Corona Ranc 990 Ely Roa Petaluma, CA  94954 (707) 765-2609 edenhousing.or Eden Housing","Familie 2BR, 3BR, & 4B unit Accepting applications for 2BR, 3BR, & 4BR",Playground Community room Boys and Girls Club On-site services Washer/dryer in unit Dishwasher,"Minimum income Maximum income:","2BR - $872 - $1,05 3BR - $1,008 -$1,22 4BR - $1123 -$136 Section 8 accepted",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Foss Creek Cour 40 West Grant Stree Healdsburg, CA  95448 (707)433-0367 edenhousing.or Eden Housing","Familie Accepting applications for 1BR, 2BR & 3BR","On-site management On-site laundry Computer lab Community room with kitche Barbeque & picnic area Tot lot Ceiling fans Diswasher Air conditionin Patios/balconies","Minimum income Maximum income:","1BR - $396 - $70 2BR - $472 - $83 3BR - $544 - $96 Section 8 accepted","Applications available at edenhousing.org or pick up an application at the ADRC",,
"Washington Cree 909 Martin Circl Petaluma, CA 94952 (707) 763-924 Eden Housing","Familie 2BR & 3BR units (32)",Playground Community room After school program Community events Social services Washer/dryer,"Minimum income Maximum income:","2BR - $872-$1,05 3BR - $1,008-$1,220",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"The Fireside Apartment 115 Shoreline Highwa Mill Valley, CA  94941 (415) 331-8500 edenhousing.or Eden Housing","Families, Disabled Individuals, & Seniors Studio, 1BR, & 2BR units (50 20 Units for special needs or transitioning from homelessness.",Community center Supportive social services Computer lab,15% - 60% AMI,"Studio _ба $75 1 BR _ба $95 2 BR _ба $1250",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Corona Ranc 990 Ely Roa Petaluma, CA  94954 (707)765-2609 edenhousing.or Eden Housing","Familie Accepting applications for 2BR, 3BR, & 4BR",Playground Community room Boys and Girls Club On-site services Washer/dryer in unit Dishwasher,,"2 BR - $872 - $1,05 3 BR - $1008 - $122 4 BR - $1123 -$136 Section 8 accepted","Applications available at edenhousing.org",,
"Nugent Squar 2361 University Avenu East Palo Alto, CA 94303 (650) 322-2061 edenhousing.or Eden","Familie 2BR & 3BR units (32 Accepting applications for 2BR & 3BR",On-site laundry Community room Computer lab Parking,"Minimum income Maximum income:","2BR - $1,095-$1,19 3BR - $1,250-$1,35 Section 8 accepted",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Sereno Villag 750 Sereno Driv Vallejo, CA 94589 (707) 642-6687 edenhousing.or Eden","Family Apartment 1BR, 2BR, 3BR,  4BR units (125)","Convenient Daycare center Community space Computer la Resident meeting area","Minimum income 30% - 50% AMI Maximum income:","1BR - $556-$62 2BR - $695-$72 3BR - $726-$81 4BR - $777-$87 Section 8 accepted","Applications available at edenhousing.org or pick up an application at the ADRC",,
"Sunset Cree 840 East Travis Boulevar Fairfield, CA 94533 (707) 422-9188 midpen-housing.or Mid Pen","Family Apartment 1BR, 2BR, &3B townhouse units (76)","Patios & balconies Large Kitchen Laundry Facility Central heat & ai On-site child care cente Pre-school Playgrounds Parking Community room Computer center","Minimum income 2 X Ren Maximum income:","1BR - $750.0 2BR - 825.0 3BR - 1,000.00","Apply at: Sunset Cree 840 E Travis Blvd Fairfield, CA 94535 (707) 422-9188",,
